WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1732914398.906549  866553 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1732914398.910513  866553 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered

WARNING: You are welcome to use the default MSA server, however keep in mind that it's a
2024-11-30 00:22:07,442 alphafold2_multimer_v3_model_1_seed_000 recycle=20 pLDDT=83.6 pTM=0.496 ipTM=0.424 tol=2.68
2024-11-30 00:22:48,917 alphafold2_multimer_v3_model_1_seed_000 recycle=21 pLDDT=83.7 pTM=0.496 ipTM=0.419 tol=2.99
2024-11-30 00:22:48,917 alphafold2_multimer_v3_model_1_seed_000 took 952.1s (21 recycles)
2024-11-30 00:23:31,148 alphafold2_multimer_v3_model_2_seed_000 recycle=0 pLDDT=80.2 pTM=0.636 ipTM=0.585
2024-11-30 00:24:12,620 alphafold2_multimer_v3_model_2_seed_000 recycle=1 pLDDT=82.4 pTM=0.548 ipTM=0.5 tol=4.28
2024-11-30 00:24:54,089 alphafold2_multimer_v3_model_2_seed_000 recycle=2 pLDDT=82.8 pTM=0.538 ipTM=0.487 tol=2.68
2024-11-30 00:25:35,612 alphafold2_multimer_v3_model_2_seed_000 recycle=3 pLDDT=83 pTM=0.532 ipTM=0.48 tol=1.92
2024-11-30 00:26:17,103 alphafold2_multimer_v3_model_2_seed_000 recycle=4 pLDDT=83.2 pTM=0.565 ipTM=0.519 tol=1.92
2024-11-30 00:26:58,586 alphafold2_multimer_v3_model_2_seed_000 recycle=5 pLDDT=83.1 pTM=0.519 ipTM=0.465 tol=2.2
2024-11-30 00:27:40,075 alphafold2_multimer_v3_model_2_seed_000 recycle=6 pLDDT=82.9 pTM=0.511 ipTM=0.453 tol=3.6
2024-11-30 00:28:21,528 alphafold2_multimer_v3_model_2_seed_000 recycle=7 pLDDT=83 pTM=0.502 ipTM=0.434 tol=2.54
2024-11-30 00:29:03,020 alphafold2_multimer_v3_model_2_seed_000 recycle=8 pLDDT=82.6 pTM=0.483 ipTM=0.4 tol=3.96
2024-11-30 00:29:44,486 alphafold2_multimer_v3_model_2_seed_000 recycle=9 pLDDT=82.1 pTM=0.483 ipTM=0.402 tol=1.47
2024-11-30 00:30:25,949 alphafold2_multimer_v3_model_2_seed_000 recycle=10 pLDDT=82.2 pTM=0.487 ipTM=0.409 tol=2.52
2024-11-30 00:31:07,406 alphafold2_multimer_v3_model_2_seed_000 recycle=11 pLDDT=82.2 pTM=0.491 ipTM=0.398 tol=1.67
2024-11-30 00:31:48,869 alphafold2_multimer_v3_model_2_seed_000 recycle=12 pLDDT=82.4 pTM=0.479 ipTM=0.396 tol=9.32
2024-11-30 00:32:30,354 alphafold2_multimer_v3_model_2_seed_000 recycle=13 pLDDT=82.3 pTM=0.476 ipTM=0.393 tol=4.05
2024-11-30 00:33:11,879 alphafold2_multimer_v3_model_2_seed_000 recycle=14 pLDDT=82.1 pTM=0.482 ipTM=0.393 tol=5.68
2024-11-30 00:33:53,348 alphafold2_multimer_v3_model_2_seed_000 recycle=15 pLDDT=82.3 pTM=0.49 ipTM=0.399 tol=5.33
2024-11-30 00:34:34,811 alphafold2_multimer_v3_model_2_seed_000 recycle=16 pLDDT=82.2 pTM=0.49 ipTM=0.409 tol=2.1
2024-11-30 00:35:16,314 alphafold2_multimer_v3_model_2_seed_000 recycle=17 pLDDT=82.4 pTM=0.495 ipTM=0.413 tol=3.51
2024-11-30 00:35:57,821 alphafold2_multimer_v3_model_2_seed_000 recycle=18 pLDDT=82.4 pTM=0.506 ipTM=0.42 tol=3.14
2024-11-30 00:36:39,333 alphafold2_multimer_v3_model_2_seed_000 recycle=19 pLDDT=82.6 pTM=0.496 ipTM=0.425 tol=2.37
2024-11-30 00:37:20,828 alphafold2_multimer_v3_model_2_seed_000 recycle=20 pLDDT=82.3 pTM=0.492 ipTM=0.407 tol=1.84
2024-11-30 00:38:02,350 alphafold2_multimer_v3_model_2_seed_000 recycle=21 pLDDT=82.3 pTM=0.494 ipTM=0.4 tol=2.36
2024-11-30 00:38:02,350 alphafold2_multimer_v3_model_2_seed_000 took 912.6s (21 recycles)
2024-11-30 00:38:44,658 alphafold2_multimer_v3_model_3_seed_000 recycle=0 pLDDT=80.4 pTM=0.638 ipTM=0.59
2024-11-30 00:39:26,262 alphafold2_multimer_v3_model_3_seed_000 recycle=1 pLDDT=81.9 pTM=0.546 ipTM=0.496 tol=3.46
2024-11-30 00:40:07,749 alphafold2_multimer_v3_model_3_seed_000 recycle=2 pLDDT=82.6 pTM=0.556 ipTM=0.505 tol=1.54
2024-11-30 00:40:49,261 alphafold2_multimer_v3_model_3_seed_000 recycle=3 pLDDT=82.6 pTM=0.638 ipTM=0.603 tol=3.96
2024-11-30 00:41:30,740 alphafold2_multimer_v3_model_3_seed_000 recycle=4 pLDDT=82.8 pTM=0.572 ipTM=0.525 tol=2.9
2024-11-30 00:42:12,262 alphafold2_multimer_v3_model_3_seed_000 recycle=5 pLDDT=82.5 pTM=0.536 ipTM=0.484 tol=5.27
2024-11-30 00:42:53,716 alphafold2_multimer_v3_model_3_seed_000 recycle=6 pLDDT=82.7 pTM=0.536 ipTM=0.485 tol=5.28
2024-11-30 00:43:35,183 alphafold2_multimer_v3_model_3_seed_000 recycle=7 pLDDT=82.8 pTM=0.543 ipTM=0.493 tol=1.2
2024-11-30 00:44:16,653 alphafold2_multimer_v3_model_3_seed_000 recycle=8 pLDDT=82.5 pTM=0.591 ipTM=0.542 tol=2.68
2024-11-30 00:44:58,150 alphafold2_multimer_v3_model_3_seed_000 recycle=9 pLDDT=82.8 pTM=0.558 ipTM=0.51 tol=2.18
2024-11-30 00:45:39,651 alphafold2_multimer_v3_model_3_seed_000 recycle=10 pLDDT=82.7 pTM=0.531 ipTM=0.477 tol=2.04
2024-11-30 00:46:21,152 alphafold2_multimer_v3_model_3_seed_000 recycle=11 pLDDT=82.3 pTM=0.538 ipTM=0.48 tol=1.78
2024-11-30 00:47:02,681 alphafold2_multimer_v3_model_3_seed_000 recycle=12 pLDDT=82.5 pTM=0.499 ipTM=0.44 tol=1.59
2024-11-30 00:47:44,137 alphafold2_multimer_v3_model_3_seed_000 recycle=13 pLDDT=82.4 pTM=0.51 ipTM=0.455 tol=1.33
2024-11-30 00:48:25,602 alphafold2_multimer_v3_model_3_seed_000 recycle=14 pLDDT=83.4 pTM=0.551 ipTM=0.501 tol=2.24
2024-11-30 00:49:07,071 alphafold2_multimer_v3_model_3_seed_000 recycle=15 pLDDT=82.8 pTM=0.558 ipTM=0.492 tol=3.15
2024-11-30 00:49:48,538 alphafold2_multimer_v3_model_3_seed_000 recycle=16 pLDDT=82.6 pTM=0.52 ipTM=0.461 tol=2.33
2024-11-30 00:50:30,027 alphafold2_multimer_v3_model_3_seed_000 recycle=17 pLDDT=82.6 pTM=0.554 ipTM=0.505 tol=2.22
2024-11-30 00:51:11,551 alphafold2_multimer_v3_model_3_seed_000 recycle=18 pLDDT=83.5 pTM=0.612 ipTM=0.571 tol=2.83
2024-11-30 00:51:53,045 alphafold2_multimer_v3_model_3_seed_000 recycle=19 pLDDT=83.1 pTM=0.552 ipTM=0.502 tol=4.48
2024-11-30 00:52:34,571 alphafold2_multimer_v3_model_3_seed_000 recycle=20 pLDDT=82.9 pTM=0.594 ipTM=0.543 tol=3.91
2024-11-30 00:53:16,120 alphafold2_multimer_v3_model_3_seed_000 recycle=21 pLDDT=83.1 pTM=0.547 ipTM=0.494 tol=1.66
2024-11-30 00:53:16,120 alphafold2_multimer_v3_model_3_seed_000 took 912.9s (21 recycles)
2024-11-30 00:53:58,430 alphafold2_multimer_v3_model_4_seed_000 recycle=0 pLDDT=80.8 pTM=0.598 ipTM=0.556
2024-11-30 00:54:39,999 alphafold2_multimer_v3_model_4_seed_000 recycle=1 pLDDT=82.4 pTM=0.551 ipTM=0.502 tol=4.98
2024-11-30 00:55:21,531 alphafold2_multimer_v3_model_4_seed_000 recycle=2 pLDDT=83.1 pTM=0.545 ipTM=0.494 tol=4.35
2024-11-30 00:56:03,059 alphafold2_multimer_v3_model_4_seed_000 recycle=3 pLDDT=83.1 pTM=0.548 ipTM=0.498 tol=1.67
2024-11-30 00:56:44,546 alphafold2_multimer_v3_model_4_seed_000 recycle=4 pLDDT=83 pTM=0.538 ipTM=0.487 tol=3.24
2024-11-30 00:57:26,033 alphafold2_multimer_v3_model_4_seed_000 recycle=5 pLDDT=82.9 pTM=0.521 ipTM=0.467 tol=2.7
2024-11-30 00:58:07,538 alphafold2_multimer_v3_model_4_seed_000 recycle=6 pLDDT=82.8 pTM=0.527 ipTM=0.474 tol=2.14
2024-11-30 00:58:49,046 alphafold2_multimer_v3_model_4_seed_000 recycle=7 pLDDT=83.1 pTM=0.511 ipTM=0.455 tol=1.92
2024-11-30 00:59:30,543 alphafold2_multimer_v3_model_4_seed_000 recycle=8 pLDDT=82.9 pTM=0.509 ipTM=0.453 tol=1.41
2024-11-30 01:00:12,010 alphafold2_multimer_v3_model_4_seed_000 recycle=9 pLDDT=82.8 pTM=0.503 ipTM=0.447 tol=0.899
2024-11-30 01:00:53,493 alphafold2_multimer_v3_model_4_seed_000 recycle=10 pLDDT=82.7 pTM=0.513 ipTM=0.457 tol=1.62
2024-11-30 01:01:34,974 alphafold2_multimer_v3_model_4_seed_000 recycle=11 pLDDT=82.8 pTM=0.506 ipTM=0.45 tol=1.84
2024-11-30 01:02:16,466 alphafold2_multimer_v3_model_4_seed_000 recycle=12 pLDDT=83.1 pTM=0.507 ipTM=0.45 tol=1.83
2024-11-30 01:02:57,964 alphafold2_multimer_v3_model_4_seed_000 recycle=13 pLDDT=82.8 pTM=0.52 ipTM=0.466 tol=1.18
2024-11-30 01:03:39,471 alphafold2_multimer_v3_model_4_seed_000 recycle=14 pLDDT=83.1 pTM=0.511 ipTM=0.456 tol=2.23
2024-11-30 01:04:20,954 alphafold2_multimer_v3_model_4_seed_000 recycle=15 pLDDT=82.8 pTM=0.518 ipTM=0.463 tol=1.69
2024-11-30 01:05:02,410 alphafold2_multimer_v3_model_4_seed_000 recycle=16 pLDDT=82.6 pTM=0.492 ipTM=0.434 tol=2.82
2024-11-30 01:05:43,900 alphafold2_multimer_v3_model_4_seed_000 recycle=17 pLDDT=82.7 pTM=0.493 ipTM=0.436 tol=3.81
2024-11-30 01:06:25,361 alphafold2_multimer_v3_model_4_seed_000 recycle=18 pLDDT=82.8 pTM=0.54 ipTM=0.489 tol=1.82
2024-11-30 01:07:06,846 alphafold2_multimer_v3_model_4_seed_000 recycle=19 pLDDT=83.3 pTM=0.515 ipTM=0.459 tol=2.93
2024-11-30 01:07:48,299 alphafold2_multimer_v3_model_4_seed_000 recycle=20 pLDDT=82.7 pTM=0.515 ipTM=0.46 tol=1.37
2024-11-30 01:08:29,763 alphafold2_multimer_v3_model_4_seed_000 recycle=21 pLDDT=82.8 pTM=0.499 ipTM=0.442 tol=1.9
2024-11-30 01:08:29,763 alphafold2_multimer_v3_model_4_seed_000 took 912.8s (21 recycles)
2024-11-30 01:09:12,018 alphafold2_multimer_v3_model_5_seed_000 recycle=0 pLDDT=79.1 pTM=0.585 ipTM=0.533
2024-11-30 01:09:53,526 alphafold2_multimer_v3_model_5_seed_000 recycle=1 pLDDT=81.1 pTM=0.526 ipTM=0.473 tol=6.3
2024-11-30 01:10:35,021 alphafold2_multimer_v3_model_5_seed_000 recycle=2 pLDDT=81.4 pTM=0.616 ipTM=0.576 tol=2.61
2024-11-30 01:11:16,511 alphafold2_multimer_v3_model_5_seed_000 recycle=3 pLDDT=81.5 pTM=0.506 ipTM=0.452 tol=2.97
2024-11-30 01:11:58,032 alphafold2_multimer_v3_model_5_seed_000 recycle=4 pLDDT=81.2 pTM=0.498 ipTM=0.441 tol=2.46
2024-11-30 01:12:39,556 alphafold2_multimer_v3_model_5_seed_000 recycle=5 pLDDT=81.2 pTM=0.488 ipTM=0.43 tol=4.09
2024-11-30 01:13:21,052 alphafold2_multimer_v3_model_5_seed_000 recycle=6 pLDDT=81 pTM=0.497 ipTM=0.441 tol=5.54
2024-11-30 01:14:02,563 alphafold2_multimer_v3_model_5_seed_000 recycle=7 pLDDT=80.8 pTM=0.488 ipTM=0.431 tol=2.08
2024-11-30 01:14:44,114 alphafold2_multimer_v3_model_5_seed_000 recycle=8 pLDDT=80.5 pTM=0.487 ipTM=0.429 tol=4.55
2024-11-30 01:15:25,643 alphafold2_multimer_v3_model_5_seed_000 recycle=9 pLDDT=80.7 pTM=0.488 ipTM=0.43 tol=1.5
2024-11-30 01:16:07,188 alphafold2_multimer_v3_model_5_seed_000 recycle=10 pLDDT=80.8 pTM=0.485 ipTM=0.428 tol=2.93
2024-11-30 01:16:48,706 alphafold2_multimer_v3_model_5_seed_000 recycle=11 pLDDT=80.8 pTM=0.479 ipTM=0.42 tol=4.34
2024-11-30 01:17:30,243 alphafold2_multimer_v3_model_5_seed_000 recycle=12 pLDDT=81 pTM=0.482 ipTM=0.423 tol=5.82
2024-11-30 01:18:11,761 alphafold2_multimer_v3_model_5_seed_000 recycle=13 pLDDT=80.8 pTM=0.481 ipTM=0.423 tol=4.56
2024-11-30 01:18:53,297 alphafold2_multimer_v3_model_5_seed_000 recycle=14 pLDDT=81.7 pTM=0.507 ipTM=0.452 tol=5.74
2024-11-30 01:19:34,790 alphafold2_multimer_v3_model_5_seed_000 recycle=15 pLDDT=81.9 pTM=0.512 ipTM=0.458 tol=5.3
2024-11-30 01:20:16,282 alphafold2_multimer_v3_model_5_seed_000 recycle=16 pLDDT=81.4 pTM=0.505 ipTM=0.45 tol=3.18
2024-11-30 01:20:57,808 alphafold2_multimer_v3_model_5_seed_000 recycle=17 pLDDT=81.5 pTM=0.492 ipTM=0.435 tol=5.17
2024-11-30 01:21:39,338 alphafold2_multimer_v3_model_5_seed_000 recycle=18 pLDDT=81.6 pTM=0.506 ipTM=0.451 tol=7.25
2024-11-30 01:22:20,854 alphafold2_multimer_v3_model_5_seed_000 recycle=19 pLDDT=81.7 pTM=0.504 ipTM=0.448 tol=4.14
2024-11-30 01:23:02,375 alphafold2_multimer_v3_model_5_seed_000 recycle=20 pLDDT=81.6 pTM=0.512 ipTM=0.458 tol=5.31
2024-11-30 01:23:43,885 alphafold2_multimer_v3_model_5_seed_000 recycle=21 pLDDT=81.7 pTM=0.515 ipTM=0.461 tol=1.4
2024-11-30 01:23:43,886 alphafold2_multimer_v3_model_5_seed_000 took 913.3s (21 recycles)
2024-11-30 01:24:26,133 alphafold2_multimer_v3_model_1_seed_001 recycle=0 pLDDT=80.7 pTM=0.54 ipTM=0.458
2024-11-30 01:25:07,674 alphafold2_multimer_v3_model_1_seed_001 recycle=1 pLDDT=82.9 pTM=0.489 ipTM=0.431 tol=5.89
2024-11-30 01:25:49,143 alphafold2_multimer_v3_model_1_seed_001 recycle=2 pLDDT=83.2 pTM=0.574 ipTM=0.524 tol=3.15
2024-11-30 01:26:30,642 alphafold2_multimer_v3_model_1_seed_001 recycle=3 pLDDT=83.5 pTM=0.493 ipTM=0.436 tol=2.28
2024-11-30 01:27:12,144 alphafold2_multimer_v3_model_1_seed_001 recycle=4 pLDDT=83.4 pTM=0.49 ipTM=0.425 tol=1.18
2024-11-30 01:27:53,632 alphafold2_multimer_v3_model_1_seed_001 recycle=5 pLDDT=83.6 pTM=0.49 ipTM=0.431 tol=1.85
2024-11-30 01:28:35,113 alphafold2_multimer_v3_model_1_seed_001 recycle=6 pLDDT=83.1 pTM=0.478 ipTM=0.418 tol=3.03
2024-11-30 01:29:16,571 alphafold2_multimer_v3_model_1_seed_001 recycle=7 pLDDT=83.6 pTM=0.483 ipTM=0.421 tol=1.72
2024-11-30 01:29:58,012 alphafold2_multimer_v3_model_1_seed_001 recycle=8 pLDDT=83.8 pTM=0.495 ipTM=0.429 tol=1.72
2024-11-30 01:30:39,467 alphafold2_multimer_v3_model_1_seed_001 recycle=9 pLDDT=83.4 pTM=0.492 ipTM=0.43 tol=2.05
2024-11-30 01:31:20,886 alphafold2_multimer_v3_model_1_seed_001 recycle=10 pLDDT=83.2 pTM=0.476 ipTM=0.416 tol=2.45
2024-11-30 01:32:02,344 alphafold2_multimer_v3_model_1_seed_001 recycle=11 pLDDT=83.3 pTM=0.477 ipTM=0.413 tol=2.7
2024-11-30 01:32:43,786 alphafold2_multimer_v3_model_1_seed_001 recycle=12 pLDDT=83.2 pTM=0.473 ipTM=0.405 tol=3.65
2024-11-30 01:33:25,261 alphafold2_multimer_v3_model_1_seed_001 recycle=13 pLDDT=83.2 pTM=0.472 ipTM=0.411 tol=4.36
2024-11-30 01:34:06,782 alphafold2_multimer_v3_model_1_seed_001 recycle=14 pLDDT=83.2 pTM=0.477 ipTM=0.411 tol=4.11
2024-11-30 01:34:48,276 alphafold2_multimer_v3_model_1_seed_001 recycle=15 pLDDT=83.4 pTM=0.486 ipTM=0.416 tol=3.49
2024-11-30 01:35:29,766 alphafold2_multimer_v3_model_1_seed_001 recycle=16 pLDDT=83.1 pTM=0.479 ipTM=0.414 tol=2.54
2024-11-30 01:36:11,217 alphafold2_multimer_v3_model_1_seed_001 recycle=17 pLDDT=83.4 pTM=0.485 ipTM=0.411 tol=2.33
2024-11-30 01:36:52,658 alphafold2_multimer_v3_model_1_seed_001 recycle=18 pLDDT=83.2 pTM=0.491 ipTM=0.417 tol=2.4
2024-11-30 01:37:34,099 alphafold2_multimer_v3_model_1_seed_001 recycle=19 pLDDT=83.2 pTM=0.482 ipTM=0.409 tol=3.13
2024-11-30 01:38:15,557 alphafold2_multimer_v3_model_1_seed_001 recycle=20 pLDDT=83.2 pTM=0.493 ipTM=0.415 tol=3.14
2024-11-30 01:38:56,994 alphafold2_multimer_v3_model_1_seed_001 recycle=21 pLDDT=83.2 pTM=0.495 ipTM=0.417 tol=3.07
2024-11-30 01:38:56,994 alphafold2_multimer_v3_model_1_seed_001 took 912.2s (21 recycles)
2024-11-30 01:39:39,204 alphafold2_multimer_v3_model_2_seed_001 recycle=0 pLDDT=81 pTM=0.634 ipTM=0.574
2024-11-30 01:40:20,670 alphafold2_multimer_v3_model_2_seed_001 recycle=1 pLDDT=82.5 pTM=0.505 ipTM=0.449 tol=3.22
2024-11-30 01:41:02,130 alphafold2_multimer_v3_model_2_seed_001 recycle=2 pLDDT=82.4 pTM=0.518 ipTM=0.465 tol=4.13
2024-11-30 01:41:43,595 alphafold2_multimer_v3_model_2_seed_001 recycle=3 pLDDT=82.3 pTM=0.488 ipTM=0.43 tol=2.48
2024-11-30 01:42:25,081 alphafold2_multimer_v3_model_2_seed_001 recycle=4 pLDDT=82.1 pTM=0.481 ipTM=0.423 tol=3.11
2024-11-30 01:43:06,554 alphafold2_multimer_v3_model_2_seed_001 recycle=5 pLDDT=81.8 pTM=0.488 ipTM=0.431 tol=4.98
2024-11-30 01:43:48,005 alphafold2_multimer_v3_model_2_seed_001 recycle=6 pLDDT=81.9 pTM=0.473 ipTM=0.407 tol=3.32
2024-11-30 01:44:29,481 alphafold2_multimer_v3_model_2_seed_001 recycle=7 pLDDT=82.1 pTM=0.477 ipTM=0.404 tol=4.98
2024-11-30 01:45:10,918 alphafold2_multimer_v3_model_2_seed_001 recycle=8 pLDDT=82.6 pTM=0.505 ipTM=0.431 tol=5.39
2024-11-30 01:45:52,346 alphafold2_multimer_v3_model_2_seed_001 recycle=9 pLDDT=82.4 pTM=0.496 ipTM=0.427 tol=2.06
2024-11-30 01:46:33,750 alphafold2_multimer_v3_model_2_seed_001 recycle=10 pLDDT=82.6 pTM=0.494 ipTM=0.416 tol=2.92
2024-11-30 01:47:15,183 alphafold2_multimer_v3_model_2_seed_001 recycle=11 pLDDT=82.6 pTM=0.49 ipTM=0.42 tol=5.02
2024-11-30 01:47:56,609 alphafold2_multimer_v3_model_2_seed_001 recycle=12 pLDDT=82.4 pTM=0.49 ipTM=0.4 tol=1.56
2024-11-30 01:48:38,040 alphafold2_multimer_v3_model_2_seed_001 recycle=13 pLDDT=82.4 pTM=0.488 ipTM=0.406 tol=1.73
2024-11-30 01:49:19,501 alphafold2_multimer_v3_model_2_seed_001 recycle=14 pLDDT=82.7 pTM=0.489 ipTM=0.409 tol=11.1
2024-11-30 01:50:00,947 alphafold2_multimer_v3_model_2_seed_001 recycle=15 pLDDT=82.2 pTM=0.476 ipTM=0.397 tol=6.09
2024-11-30 01:50:42,369 alphafold2_multimer_v3_model_2_seed_001 recycle=16 pLDDT=82 pTM=0.483 ipTM=0.41 tol=5.32
2024-11-30 01:51:23,810 alphafold2_multimer_v3_model_2_seed_001 recycle=17 pLDDT=82.8 pTM=0.507 ipTM=0.446 tol=2.59
2024-11-30 01:52:05,278 alphafold2_multimer_v3_model_2_seed_001 recycle=18 pLDDT=82.9 pTM=0.505 ipTM=0.448 tol=4.04
2024-11-30 01:52:46,712 alphafold2_multimer_v3_model_2_seed_001 recycle=19 pLDDT=82.7 pTM=0.504 ipTM=0.441 tol=2.13
2024-11-30 01:53:28,142 alphafold2_multimer_v3_model_2_seed_001 recycle=20 pLDDT=82.6 pTM=0.502 ipTM=0.427 tol=1.8
2024-11-30 01:54:09,563 alphafold2_multimer_v3_model_2_seed_001 recycle=21 pLDDT=82.3 pTM=0.496 ipTM=0.408 tol=1.35
2024-11-30 01:54:09,564 alphafold2_multimer_v3_model_2_seed_001 took 911.7s (21 recycles)
2024-11-30 01:54:51,815 alphafold2_multimer_v3_model_3_seed_001 recycle=0 pLDDT=80.4 pTM=0.534 ipTM=0.465
2024-11-30 01:55:33,318 alphafold2_multimer_v3_model_3_seed_001 recycle=1 pLDDT=81.9 pTM=0.615 ipTM=0.573 tol=7.47
2024-11-30 01:56:14,766 alphafold2_multimer_v3_model_3_seed_001 recycle=2 pLDDT=82.3 pTM=0.522 ipTM=0.469 tol=3.24
2024-11-30 01:56:56,221 alphafold2_multimer_v3_model_3_seed_001 recycle=3 pLDDT=82.5 pTM=0.613 ipTM=0.574 tol=2.99
2024-11-30 01:57:37,690 alphafold2_multimer_v3_model_3_seed_001 recycle=4 pLDDT=82.4 pTM=0.515 ipTM=0.462 tol=1.65
2024-11-30 01:58:19,156 alphafold2_multimer_v3_model_3_seed_001 recycle=5 pLDDT=81.9 pTM=0.659 ipTM=0.627 tol=2.46
2024-11-30 01:59:00,613 alphafold2_multimer_v3_model_3_seed_001 recycle=6 pLDDT=82.3 pTM=0.515 ipTM=0.46 tol=2.36
2024-11-30 01:59:42,089 alphafold2_multimer_v3_model_3_seed_001 recycle=7 pLDDT=82.6 pTM=0.604 ipTM=0.562 tol=1.23
2024-11-30 02:00:23,546 alphafold2_multimer_v3_model_3_seed_001 recycle=8 pLDDT=82.4 pTM=0.527 ipTM=0.475 tol=2.23
2024-11-30 02:01:05,039 alphafold2_multimer_v3_model_3_seed_001 recycle=9 pLDDT=82.4 pTM=0.574 ipTM=0.529 tol=2.79
